avgTemp,minTemp,maxTemp,rainFall,avgPrice
23,20.6,25.9,39.1,2919
24.2,20.6,29.1,2.6,2934
23.2,20.5,26.9,12.4,2934
22.7,20,26,67.4,2934
23.5,21.1,26.5,44.3,2986
24.8,22.1,28.5,12.2,2990
25.6,22,30.8,10.1,3004
23.6,21.8,26.9,11.1,3060
21.8,19.9,24,5,3015
21.3,17.9,25.9,0.2,3015
20.9,17.3,24.8,0,3015
20.2,18.8,21.9,12.3,3122
24,20,28.5,2.4,3235
26.1,22.8,30.3,3.1,3355
27.4,23.3,32.1,0,3498
27.8,24.1,32.6,0,3499
27.9,23.7,33,0,3499
28.2,23.4,33.9,0,3499
28.2,23.1,33.9,0,3605
28.1,23.3,33.4,0,3706
27.8,23,33.4,0,3771
28.1,23.1,34,0,3930
28.7,23,35.2,0,3960
29.3,24,35.4,0,3960
29.6,24.7,35.2,0,3960
29.6,25.4,35,0,4448
29.7,24.9,35.3,0,4524
29.7,25.8,34.6,0,4680
29.9,25.5,35.2,0,4788
30,25.5,35.9,0.1,4909
28.9,25.6,34.4,3.6,4909
29.4,24.7,34.6,0.1,4909
29,24.9,34,0.2,5030
29.2,23.9,35.3,0,5257
30,23.8,36.6,0,5404
30.2,24.9,36.1,0,5605
30.1,25.4,35.6,0.1,5719
30.3,25.9,35.6,0,5719
30,25.9,35.3,1.6,5719
29.1,25.5,34.2,12.1,5770
28.6,25.4,33.3,1.2,5770
28.8,24.9,34.6,1.6,5864
28.5,24.9,33.7,3,6010
27.7,24.9,32.4,8.2,6051
27.7,24.3,32.3,0.9,6051
28.1,24.1,33,0.5,6051
29.7,25.1,35.3,0.9,6066
29.9,25,36,0,6217
29.4,24.5,35.9,3.5,6217
27.1,23.5,32,5.2,6310
25.1,20.9,30.1,0,6522
24.2,18.8,30.3,0,6522
