avgTemp,minTemp,maxTemp,rainFall,avgPrice
23.2,17.5,29.3,0,2799
22.1,17.6,27,1,2833
22.4,17.8,27.4,0.5,2825
22.8,19.2,26.7,0.9,2825
24.4,20.8,29.2,1,2777
24.2,22,27.6,55.2,2752
23.6,21.5,27,24.6,2752
22.4,20,25.3,22.3,2752
22.2,20.2,24.7,53.2,2832
24.8,21.5,28.6,39.5,2860
23.6,21.2,27.4,27.8,2899
24.2,20.9,29,1.2,2933
25.4,20.8,31.2,1,2950
26.1,21.2,32.1,0,2950
26,21.7,31.1,0,2950
25.6,22.2,30.3,2.9,3032
24.6,22.4,28,8.2,3068
25.6,22.1,29.9,0.1,3115
25,21.4,30,2.3,3191
24.5,20.7,28.7,0.8,3214
21.7,20.4,23.8,27.9,3214
23.3,20.7,27,0.9,3214
23.7,19.7,28.7,0,3299
25,20.4,30,0.1,3351
25.3,21.6,29.8,0,3416
25.1,21.5,29.7,0,3354
25.8,21.7,30.7,0,3341
26.4,22.2,31.2,1.7,3341
27.3,23.6,32,4.8,3341
27.3,24.5,31.6,5.8,3322
28,24,32.8,0,3344
28,24.5,32,0.9,3362
28.3,24.8,32.7,0.8,3383
27.8,24,32.1,9.7,3388
28.4,25,33.3,6.7,3388
28,24.4,33.5,4.1,3388
27.4,23.7,32.8,2.4,3487
26.4,23.6,30.9,3,3569
26.7,23.1,31.8,1.6,3689
27.7,23.4,33,0.2,3760
28,23.3,33.6,0.2,3822
28.3,23.4,34,0.6,3822
28.5,24.1,34.2,1.5,3822
28.2,24,34.5,4.9,3957
27.7,23.9,32.6,0.6,4064
28.4,23.9,34,0,4043
29.3,24.1,35.4,0,4061
29.5,24.4,35.6,0,4090
29.5,24.6,35.3,0,4090
29.1,25,34.4,1,4090
28.5,25,33.8,2.6,4090
27.9,24.2,33.2,4,4120
27.7,23.2,33.3,0.7,4291
28,23.7,33.6,0.4,4520
28.2,23.8,33.6,0.4,4746
28.3,24.1,34,0.1,4746
27.9,23.2,33.8,0.2,4746
